12.09.2023 07:42:52.615 [main] INFO  c.p.newspaper.NewspaperApplication - Starting NewspaperApplication using Java 17.0.7 with PID 10732 (D:\HuuTien\Java\Spring_Workspace\newspaper\target\classes started by dhtie in D:\HuuTien\Java\Spring_Workspace\newspaper)
12.09.2023 07:42:52.617 [main] INFO  c.p.newspaper.NewspaperApplication - The following 1 profile is active: "dev"
12.09.2023 07:42:57.197 [main] INFO  c.p.newspaper.NewspaperApplication - Started NewspaperApplication in 5.044 seconds (process running for 5.419)
12.09.2023 07:50:02.023 [main] INFO  c.p.n.NewspaperApplicationTests - Starting NewspaperApplicationTests using Java 17.0.7 with PID 5252 (started by dhtie in D:\HuuTien\Java\Spring_Workspace\newspaper)
12.09.2023 07:50:02.024 [main] INFO  c.p.n.NewspaperApplicationTests - The following 1 profile is active: "dev"
12.09.2023 07:50:07.260 [main] INFO  c.p.n.NewspaperApplicationTests - Started NewspaperApplicationTests in 5.635 seconds (process running for 6.819)
12.09.2023 08:25:27.741 [main] INFO  c.p.newspaper.NewspaperApplication - Starting NewspaperApplication using Java 17.0.7 with PID 11760 (D:\HuuTien\Java\Spring_Workspace\newspaper\target\classes started by dhtie in D:\HuuTien\Java\Spring_Workspace\newspaper)
12.09.2023 08:25:27.743 [main] INFO  c.p.newspaper.NewspaperApplication - The following 1 profile is active: "prod"
12.09.2023 08:25:50.375 [main] INFO  c.p.newspaper.NewspaperApplication - Starting NewspaperApplication using Java 17.0.7 with PID 12384 (D:\HuuTien\Java\Spring_Workspace\newspaper\target\classes started by dhtie in D:\HuuTien\Java\Spring_Workspace\newspaper)
12.09.2023 08:25:50.377 [main] INFO  c.p.newspaper.NewspaperApplication - The following 1 profile is active: "prod"
12.09.2023 08:26:04.960 [main] INFO  c.p.newspaper.NewspaperApplication - Started NewspaperApplication in 15.042 seconds (process running for 15.352)
12.09.2023 08:28:47.219 [main] INFO  c.p.newspaper.NewspaperApplication - Starting NewspaperApplication using Java 17.0.7 with PID 1556 (D:\HuuTien\Java\Spring_Workspace\newspaper\target\classes started by dhtie in D:\HuuTien\Java\Spring_Workspace\newspaper)
12.09.2023 08:28:47.221 [main] INFO  c.p.newspaper.NewspaperApplication - The following 1 profile is active: "prod"
12.09.2023 08:29:01.950 [main] INFO  c.p.newspaper.NewspaperApplication - Started NewspaperApplication in 15.216 seconds (process running for 15.604)
12.09.2023 08:38:39.243 [main] INFO  c.p.n.NewspaperApplicationTests - Starting NewspaperApplicationTests using Java 17.0.7 with PID 17316 (started by dhtie in D:\HuuTien\Java\Spring_Workspace\newspaper)
12.09.2023 08:38:39.244 [main] INFO  c.p.n.NewspaperApplicationTests - The following 1 profile is active: "prod"
12.09.2023 08:38:58.021 [main] INFO  c.p.n.NewspaperApplicationTests - Started NewspaperApplicationTests in 19.14 seconds (process running for 20.249)
12.09.2023 10:02:57.518 [main] INFO  c.p.n.NewspaperApplicationTests - Starting NewspaperApplicationTests using Java 17.0.7 with PID 17048 (started by dhtie in D:\HuuTien\Java\Spring_Workspace\newspaper)
12.09.2023 10:02:57.519 [main] INFO  c.p.n.NewspaperApplicationTests - The following 1 profile is active: "prod"
12.09.2023 10:03:18.183 [main] INFO  c.p.n.NewspaperApplicationTests - Started NewspaperApplicationTests in 21.12 seconds (process running for 22.377)
12.09.2023 10:50:05.639 [main] INFO  c.p.newspaper.NewspaperApplication - Starting NewspaperApplication using Java 17.0.7 with PID 12824 (C:\Users\dhtie\OneDrive\Máy tính\New folder (2)\news-api\target\classes started by dhtie in C:\Users\dhtie\OneDrive\Máy tính\New folder (2)\news-api)
12.09.2023 10:50:05.643 [main] INFO  c.p.newspaper.NewspaperApplication - The following 1 profile is active: "dev"
12.09.2023 10:50:13.384 [main] INFO  c.p.newspaper.NewspaperApplication - Started NewspaperApplication in 8.647 seconds (process running for 9.499)
12.09.2023 10:50:37.920 [http-nio-8080-exec-1] INFO  c.project.newspaper.log.RequestLog - REQUEST: received request GET /api/news/category/thoi-su
12.09.2023 10:50:39.445 [http-nio-8080-exec-2] INFO  c.project.newspaper.log.RequestLog - REQUEST: received request GET /api/news/category/thoi-su
12.09.2023 10:50:41.300 [http-nio-8080-exec-3] INFO  c.project.newspaper.log.RequestLog - REQUEST: received request GET /api/news/category/thoi-su
12.09.2023 10:51:37.798 [main] INFO  c.p.n.NewspaperApplicationTests - Starting NewspaperApplicationTests using Java 17.0.7 with PID 14448 (started by dhtie in C:\Users\dhtie\OneDrive\Máy tính\New folder (2)\news-api)
12.09.2023 10:51:37.800 [main] INFO  c.p.n.NewspaperApplicationTests - The following 1 profile is active: "prod"
12.09.2023 10:52:10.076 [main] INFO  c.p.n.NewspaperApplicationTests - Started NewspaperApplicationTests in 32.977 seconds (process running for 35.013)
12.09.2023 11:00:47.710 [main] INFO  c.p.n.NewspaperApplicationTests - Starting NewspaperApplicationTests using Java 17.0.7 with PID 9796 (started by dhtie in C:\Users\dhtie\OneDrive\Máy tính\New folder (2)\news-api)
12.09.2023 11:00:47.712 [main] INFO  c.p.n.NewspaperApplicationTests - The following 1 profile is active: "prod"
12.09.2023 11:01:11.294 [main] INFO  c.p.n.NewspaperApplicationTests - Started NewspaperApplicationTests in 24.226 seconds (process running for 25.845)
